iter	Passed	Remaining
1382	7588	3385
1383	7590	3378
1384	7592	3371
1385	7594	3364
1386	7595	3357
1387	7597	3349
1388	7599	3342
1389	7601	3335
1390	7603	3328
1391	7605	3321
1392	7607	3314
1393	7609	3307
1394	7610	3300
1395	7612	3293
1396	7614	3286
1397	7616	3279
1398	7618	3272
1399	7620	3265
1400	7622	3258
1401	7624	3251
1402	7625	3244
1403	7627	3237
1404	7629	3231
1405	7631	3224
1406	7633	3217
1407	7635	3210
1408	7637	3203
1409	7638	3196
1410	7641	3189
1411	7643	3182
1412	7644	3175
1413	7646	3169
1414	7648	3162
1415	7650	3155
1416	7652	3148
1417	7654	3141
1418	7657	3135
1419	7659	3128
1420	7662	3122
1421	7664	3115
1422	7667	3108
1423	7669	3102
1424	7672	3095
1425	7675	3089
1426	7678	3083
1427	7680	3076
1428	7683	3070
1429	7685	3063
1430	7688	3057
1431	7690	3050
1432	7692	3043
1433	7695	3037
1434	7697	3030
1435	7699	3024
1436	7701	3017
1437	7703	3010
1438	7705	3004
1439	7709	2997
1440	7711	2991
1441	7714	2985
1442	7716	2978
1443	7718	2972
1444	7720	2965
1445	7722	2958
1446	7724	2952
1447	7726	2945
1448	7728	2938
1449	7730	2932
1450	7731	2925
1451	7733	2918
1452	7735	2912
1453	7737	2905
1454	7739	2899
1455	7742	2892
1456	7744	2886
1457	7746	2879
1458	7749	2873
1459	7751	2866
1460	7753	2860
1461	7756	2854
1462	7757	2847
1463	7759	2841
1464	7761	2834
1465	7763	2827
1466	7765	2821
1467	7768	2815
1468	7770	2808
1469	7772	2802
1470	7775	2796
1471	7777	2789
1472	7779	2783
1473	7781	2776
1474	7783	2770
1475	7786	2764
1476	7787	2757
1477	7789	2751
1478	7791	2744
1479	7793	2738
1480	7795	2731
1481	7797	2725
1482	7799	2718
1483	7801	2712
1484	7803	2706
1485	7805	2699
1486	7807	2693
1487	7808	2686
1488	7810	2680
1489	7812	2674
1490	7814	2667
1491	7816	2661
1492	7818	2654
1493	7820	2648
1494	7821	2642
1495	7824	2635
1496	7826	2629
1497	7827	2623
